Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Arab World,ARB,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,54.82212067,54.89413834,56.20943832,57.26710892,57.99113846,59.36553955,60.99996185,61.9226799,62.69342041,64.38318634,65.61776733,66.08515167,66.60813904,67.29045105,68.51009369,69.03321075,69.94490814,71.04187012,71.69377899,71.69909668,78.80052185,80.05139923,80.8053894,81.60706329,82.48948669,82.68550873,83.2803421,84.01187134,84.195961,85.21199799,85.24514008,86.10166931,85.51194,85.32015228
Arab World,ARB,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,43.35110092,43.31814957,44.64070129,45.84571838,46.44950104,48.3638916,50.04618835,51.24528122,52.24232101,54.75437164,56.4867897,57.31465912,58.22605133,59.28923035,60.74818039,61.52087021,62.73495102,64.11588287,65.09966278,65.1292038,75.13298035,76.64102173,77.65357971,78.48539734,79.47576904,79.60832977,80.58242035,81.47380066,81.69568634,82.8716507,82.86138916,84.40141296,83.91403198,83.8208313
Arab World,ARB,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.658569992,0.656400025,0.663290024,0.672039986,0.672609985,0.691760004,0.69994998,0.71013999,0.718429983,0.743740022,0.759440005,0.769249976,0.77986002,0.790709972,0.799610019,0.806770027,0.816060007,0.825129986,0.834190011,0.83476001,0.912750006,0.91979003,0.926299989,0.927680016,0.930840015,0.929620028,0.938459992,0.942499995,0.943470001,0.947619975,0.946699977,0.962080002,0.96408999,0.966199994
Arab World,ARB,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,65.82623291,65.99358368,67.30185699,68.21907806,69.05901337,69.91455078,71.49951172,72.1620636,72.71768951,73.61997223,74.37998199,74.50713348,74.66262817,74.98182678,75.97254181,76.25549316,76.87505341,77.70385742,78.03936768,78.02188873,82.31504822,83.32405853,83.83222961,84.60439301,85.38028717,85.63507843,85.86669159,86.44413757,86.59069061,87.45258331,87.52651978,87.7281723,87.03987885,86.75338745
Arab World,ARB,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,52.4489212,52.48974991,52.63559341,53.32699966,54.18465424,54.86562729,58.70162582,58.87696457,59.45252228,62.77637482,62.5595665,62.59432983,62.44729233,63.40913773,65.83737946,64.61309052,65.92689514,66.77563477,66.44734955,66.93183136,73.59420013,74.97615814,75.32858276,76.42851257,76.13176727,75.22255707,75.5956955,74.89394379,74.81455231,76.19704437,76.47496796,77.31936646,76.56671143,76.62056732
Arab World,ARB,"Early school leavers from primary education, both sexes (number)",UIS.ESL.1.T,2867935,1134606,1193009,1259763,1221188,1287423,1323764,1323770,1249952,1341652,1325034,1357056,1376726,1428364,1460387,1489478,1567964,1573692,1627945,1569466,1205298,1286043,1268635,1305259,1448040,1480974,1421714,1395081,1353033,1255089,1220685,1249747,1238354,1313036
Arab World,ARB,"Early school leavers from primary education, female (number)",UIS.ESL.1.F,1154995,508457,535956,571461,559398,598338,629871,640124,621829,732142,681419,684159,696843,719001,738420,753603,790071,800018,810045,782844,579939,628134,614425,652295,711289,729803,698247,691740,669822,626773,614162,624834,619087,655962
Arab World,ARB,"Early school leavers from primary education, male (number)",UIS.ESL.1.M,1712940,626149,657053,688302,661790,689085,693894,683646,628123,609510,643615,672897,679883,709363,721966,735876,777893,773674,817900,786622,625359,657909,654210,652964,736751,751171,723467,703341,683211,628316,606523,624913,619267,657074
Arab World,ARB,"Enrolment in early childhood education, private institutions, both sexes (number)",UIS.E.0.PR.T,583023,589440.625,599379,611872.0625,614750.6875,641257.25,698520.3125,754653.375,791019.8125,815084.625,879316.375,974839.5625,1014696.938,1069733.375,1144264.25,1206692.125,1224403.375,1263651.25,1302917.875,1363586.125,1622077.75,1633625,1635827.375,1663796.875,1697727.125,1848953.75,1820765.75,1915091,1976646.5,2018136.75,2056051.375,2110234,2107009,2310714
